id,pixels,pixelsWithNans,validPixels,meanPropNansValidPixels
canton_125_1.nc,340,340,213,0.38482178138479695
canton_125_2.nc,340,340,213,0.3716821661130402
canton_78_1.nc,1350,1350,929,0.3838162890727212
canton_78_2.nc,1350,1350,929,0.3594459884045424
canton_215_1.nc,2106,2106,1274,0.4444598956076296
canton_215_2.nc,2106,2106,1274,0.3304004924443113
canton_198_1.nc,1120,1120,645,0.4474049942738774
canton_198_2.nc,1120,1120,645,0.33343701507186874
canton_128_1.nc,154,154,104,0.44641361434327886
canton_128_2.nc,154,154,104,0.32186889125141466
canton_106_1.nc,120,120,65,0.4457871145922941
canton_106_2.nc,120,120,65,0.32082375938818203
canton_70_1.nc,2116,2116,796,0.39058705830506274
canton_70_2.nc,2116,2116,796,0.36836237585609727
canton_169_1.nc,1271,1271,906,0.4395690491874847
canton_169_2.nc,1271,1271,906,0.3183819860463606
canton_45_1.nc,1116,1116,678,0.4410988764864287
canton_45_2.nc,1116,1116,678,0.33454161554071205
canton_53_1.nc,990,990,392,0.4344137007363275
canton_53_2.nc,990,990,392,0.34809202325602556
canton_85_1.nc,1107,1107,516,0.3842005785436942
canton_85_2.nc,1107,1107,516,0.36976709625467
canton_104_1.nc,72,72,53,0.3980088176174664
canton_104_2.nc,72,72,53,0.3565179720556196
canton_167_1.nc,1364,1364,1058,0.4457982066622087
canton_167_2.nc,1364,1364,1058,0.3235036201684383
canton_162_1.nc,2200,2200,1831,0.39378000166512955
canton_162_2.nc,2200,2200,1831,0.36950931510204815
canton_189_1.nc,2124,2124,1574,0.43767598550010356
canton_189_2.nc,2124,2124,1574,0.32060069984778283
canton_81_1.nc,1350,1350,929,0.3838162890727212
canton_81_2.nc,1350,1350,929,0.3594459884045424
canton_56_1.nc,2379,2379,1013,0.3836973377871078
canton_56_2.nc,2379,2379,1013,0.3611492417564088
canton_82_1.nc,1600,1600,684,0.4242721896953488
canton_82_2.nc,1600,1600,684,0.31750729364651037
canton_43_1.nc,1800,1800,919,0.4456260195301467
canton_43_2.nc,1800,1800,919,0.3207774447113181
canton_49_1.nc,2601,2601,1945,0.42101599156316055
canton_49_2.nc,2601,2601,1945,0.3181393813601184
canton_190_1.nc,2419,2419,1760,0.42167050136443895
canton_190_2.nc,2419,2419,1760,0.35527119726016293
canton_191_1.nc,1224,1224,610,0.4353896699119057
canton_191_2.nc,1224,1224,610,0.3452332575663448
canton_168_1.nc,1599,1599,995,0.4416221779882343
canton_168_2.nc,1599,1599,995,0.3189088554677086
canton_218_1.nc,1634,1634,945,0.4451927838037314
canton_218_2.nc,1634,1634,945,0.326485928001755
canton_122_1.nc,156,156,101,0.4213777469565674
canton_122_2.nc,156,156,101,0.34991149583081355
canton_55_1.nc,936,936,701,0.3976111650807432
canton_55_2.nc,936,936,701,0.36763066328402894
canton_107_1.nc,143,143,90,0.44665816493362104
canton_107_2.nc,143,143,90,0.323534948234012
canton_173_1.nc,816,816,538,0.38404287674140264
canton_173_2.nc,816,816,538,0.3604058558058363
canton_170_1.nc,1760,1760,1046,0.39508337487916073
canton_170_2.nc,1760,1760,1046,0.31634726776911215
canton_214_1.nc,120,120,64,0.44597925250147147
canton_214_2.nc,120,120,64,0.3222386312973696
canton_80_1.nc,840,840,494,0.3881963193400262
canton_80_2.nc,840,840,494,0.32711124668559494
canton_172_1.nc,1881,1881,1265,0.387255465316729
canton_172_2.nc,1881,1881,1265,0.33238040526609797
canton_212_1.nc,2394,2394,1437,0.38390137388934426
canton_83_1.nc,992,992,698,0.3847130707259116
canton_83_2.nc,992,992,698,0.3319563442840956
canton_192_1.nc,756,756,363,0.385418744132426
canton_192_2.nc,756,756,363,0.3707629122252395
canton_171_1.nc,1504,1504,1109,0.38391994229884335
canton_171_2.nc,1504,1504,1109,0.33415209808131663
canton_57_1.nc,2320,2320,1760,0.3837312389640965
canton_57_2.nc,2320,2320,1760,0.3479916051959632
canton_165_1.nc,2184,2184,1730,0.38743769711527015
canton_165_2.nc,2184,2184,1730,0.3693586211695216
canton_220_1.nc,1360,1360,516,0.4506675153190887
canton_220_2.nc,1360,1360,516,0.35700819431340225
canton_164_1.nc,1872,1872,1684,0.4131581872248451
canton_164_2.nc,1872,1872,1684,0.3521082480940969
canton_163_1.nc,2000,2000,1675,0.40310946737764974
canton_163_2.nc,2000,2000,1675,0.3562579434525988
canton_202_1.nc,1221,1221,496,0.4351201608156601
canton_202_2.nc,1221,1221,496,0.34534142062042483
canton_208_1.nc,1850,1850,843,0.4427511961889521
canton_208_2.nc,1850,1850,843,0.31986901122194317
canton_209_1.nc,1980,1980,1493,0.44480264384668183
canton_209_2.nc,1980,1980,1493,0.33047832969372004
canton_77_1.nc,36,36,22,0.4042083578575633
canton_77_2.nc,36,36,22,0.3548818546589389
canton_129_1.nc,496,496,295,0.44548039225466624
canton_129_2.nc,496,496,295,0.32083544284667176
canton_127_1.nc,81,81,64,0.43646998234255446
canton_127_2.nc,81,81,64,0.3535199788230049
canton_211_1.nc,1054,1054,467,0.4449487228285186
canton_211_2.nc,1054,1054,467,0.3197781153071034
canton_84_1.nc,960,960,589,0.3848548681887178
canton_84_2.nc,960,960,589,0.3628678393523106
canton_199_1.nc,150,150,75,0.3986305670001962
canton_199_2.nc,150,150,75,0.3583296180710358
canton_121_1.nc,121,121,72,0.42196390033352954
canton_121_2.nc,121,121,72,0.35344838262247985
canton_86_1.nc,2120,2120,1458,0.3985764643286497
canton_86_2.nc,2120,2120,1458,0.32456103335051834
canton_126_1.nc,357,357,200,0.41511918775750445
canton_126_2.nc,357,357,200,0.35999777084262147
canton_54_1.nc,792,792,468,0.44540277589129856
canton_54_2.nc,792,792,468,0.32400230917841266
canton_72_1.nc,2508,2508,1798,0.38485014740726237
canton_72_2.nc,2508,2508,1798,0.36799321780727284
canton_207_1.nc,1850,1850,808,0.44194750552159395
canton_207_2.nc,1850,1850,808,0.31957481581863045
