|lat|lon|season|fishingHours|fishingDays|meanFishingHours|meanFishingDays|nCount|medianFishingHoursPerMonth|flagOne|cuantilDays|cuantilHours|decilDays|decilHours|logFishingHours|logFishingDays|lonTimesFishing|sumfishingHoursPerMonth|distance|fishingHoursTimesDistance
0|-19.9|-73.8|verano|1.67|1.0|1.67|1.0|2|1.67|1|1|23|1|3|0.5128236264286637|0.0|-73.8|1.67|3.4151400988099954|1.8021215393556394e-05
1|-19.8|-73.7|verano|1.01|1.0|1.01|1.0|1|1.01|1|1|14|1|2|0.009950330853168092|0.0|-30.886721991701243|2.41|3.273924234691448|1.0448382917504237e-05
2|-19.8|-73.6|verano|1.4|1.0|1.4|1.0|1|1.4|1|1|21|1|3|0.3364722366212129|0.0|-42.7551867219917|2.41|3.200124356099298|1.4156437400925432e-05
3|-19.7|-73.8|verano|7.8100000000000005|1.0|7.8100000000000005|1.0|7|7.8100000000000005|1|1|60|1|6|2.0554049638515948|0.0|-22.253976833976836|25.9|3.2847444184441423|8.106095186350172e-05
4|-19.7|-73.7|verano|12.19|1.0|12.19|1.0|11|12.19|1|1|70|1|7|2.5006159434931803|0.0|-34.68737451737452|25.9|3.2080776010720156|0.00012356846522397068
5|-19.7|-73.6|verano|5.8999999999999995|1.0|5.8999999999999995|1.0|5|5.8999999999999995|1|1|53|1|6|1.7749523509116736|0.0|-16.766023166023164|25.9|3.1327269102971522|5.8402794936973744e-05
6|-19.6|-73.9|verano|0.28|1.0|0.28|1.0|1|0.28|1|1|4|1|1|-1.2729656758128873|0.0|-0.63239608801956|32.72|3.2594541055827175|2.88377905808104e-06
7|-19.6|-73.8|verano|11.72|1.0|11.72|1.0|12|11.72|1|1|69|1|7|2.4612967841488667|0.0|-26.434474327628365|32.72|3.2032079336814836|0.00011862379807747565
8|-19.6|-73.7|verano|20.59|1.0|20.59|1.0|17|20.59|1|1|78|1|8|3.0248055210396982|0.0|-46.377842298288506|32.72|3.1440330619285777|0.000204551436096152
9|-19.6|-73.6|verano|0.13|1.0|0.13|1.0|1|0.13|1|1|2|1|1|-2.0402208285265546|0.0|-0.29242053789731054|32.72|3.0671093711343174|1.2598872971686055e-06
10|-19.5|-73.7|verano|2.39|1.0|2.39|1.0|3|2.39|1|1|32|1|4|0.8712933659434193|0.0|-60.94913494809689|2.89|3.0647605234993502|2.3144805093223307e-05
11|-19.5|-73.2|verano|0.5|1.0|0.5|1.0|2|0.5|1|1|7|1|1|-0.6931471805599453|0.0|-12.664359861591695|2.89|2.7035543076661113|4.271340407168364e-06
12|-19.4|-74.6|verano|0.1|1.0|0.1|1.0|1|0.1|1|1|2|1|1|-2.3025850929940455|0.0|-74.6|0.1|3.3884232421732623|1.0706727118329828e-06
13|-19.3|-74.6|verano|0.49|1.0|0.49|1.0|1|0.49|1|1|6|1|1|-0.7133498878774648|0.0|-9.519270833333332|3.8400000000000003|3.2974129356360535|5.105385014734656e-06
14|-19.3|-74.5|verano|2.29|1.0|2.29|1.0|3|2.29|1|1|31|1|4|0.8285518175661483|0.0|-44.42838541666666|3.8400000000000003|3.2553866241200895|2.3555760985537315e-05
15|-19.3|-73.0|verano|1.06|1.0|1.06|1.0|1|1.06|1|1|16|1|2|0.058268908123975824|0.0|-20.151041666666668|3.8400000000000003|2.4207440786873735|8.108001594460423e-06
16|-19.2|-74.8|verano|1.26|1.0|1.26|1.0|2|1.26|1|1|19|1|2|0.23111172096338664|0.0|-39.599999999999994|2.38|3.2771257639736677|1.3047362700080108e-05
17|-19.2|-73.0|verano|1.12|1.0|1.12|1.0|2|1.12|1|1|17|1|2|0.11332868530700327|0.0|-34.352941176470594|2.38|2.352272070679745|8.324624574055718e-06
18|-19.0|-75.1|verano|3.94|1.0|3.94|1.0|3|3.94|1|1|43|1|5|1.3711807233098425|0.0|-57.90489236790605|5.11|3.214063669702265|4.00137983835965e-05
19|-19.0|-74.0|verano|1.02|1.0|1.02|1.0|1|1.02|1|1|15|1|2|0.01980262729617973|0.0|-14.771037181996086|5.11|2.7664969154871693|8.916397964323097e-06
20|-19.0|-72.9|verano|0.15|1.0|0.15|1.0|1|0.15|1|1|2|1|1|-1.8971199848858813|0.0|-2.139921722113503|5.11|2.1451722295657283|1.0167460810938306e-06
21|-18.9|-73.6|verano|6.77|1.0|6.77|1.0|7|6.77|1|1|57|1|6|1.9125010869241836|0.0|-65.39002624671916|7.619999999999999|2.5138836853362965|5.377654916035279e-05
22|-18.9|-73.5|verano|0.68|1.0|0.68|1.0|1|0.68|1|1|10|1|1|-0.3856624808119846|0.0|-6.559055118110237|7.619999999999999|2.4576519416711546|5.280662016298815e-06
23|-18.9|-73.2|verano|0.17|1.0|0.17|1.0|1|0.17|1|1|2|1|1|-1.7719568419318752|0.0|-1.6330708661417326|7.619999999999999|2.2911903164949003|1.2307480843075768e-06
24|-18.8|-75.7|verano|1.83|1.0|1.83|1.0|3|1.83|1|1|25|1|3|0.6043159668533296|0.0|-17.294756554307117|8.01|3.3367823862778425|1.929470113821692e-05
25|-18.8|-73.7|verano|1.46|1.0|1.46|1.0|1|1.46|1|1|21|1|3|0.37843643572024505|0.0|-13.433458177278403|8.01|2.457736190765808|1.1338280642734413e-05
26|-18.8|-73.6|verano|3.79|1.0|3.79|1.0|4|3.79|1|1|42|1|5|1.332366019094335|0.0|-34.82446941323345|8.01|2.4202308120094678|2.8983783538522764e-05
27|-18.8|-73.1|verano|0.93|1.0|0.93|1.0|1|0.93|1|1|13|1|2|-0.07257069283483537|0.0|-8.487265917602997|8.01|2.153288834341546|6.327677243045013e-06
