producer_id,zone,lot,plot,orig_crop,variety,seedtime,harvest_date,show_furrow,n_plants_m,n_plants_ha,date_beginning_flowering,mature_maturation_date,plant_height,fertitilized,type_of_fertilizer,dose_kg_ha,rend_ton_ha,cond_climaticas_de_la_campana,producer_handling,notes,id_lot,cultivation_id,culture,yr,summer,latitude,longitude
16,Norte,H-2,Las Londras,Sorgo,Timbo,,9/13/2016,0.45,11,244444.44,45,110,1.1,MAP,11-52-0,100,1,,,,67,2,SORGO,2016,0,-16.36096,-63.48191
14,Este,B04,Europa,Maiz,Maiz 355,3/10/2013,8/20/2013,0.42,2.4,57142.857,5/14/2013,7/13/2013,2.1,0,0,0,1.9947423,,,,45,1,MAIZ,2013,0,-17.05833,-62.35004
14,Este,A09,Europa,Sorgo,DAS-5000,3/19/2013,7/24/2013,0.42,9,214285.71,5/3/2013,7/7/2013,1.1,0,0,0,2.3236313,,,,43,2,SORGO,2013,0,-17.07043,-62.33751
12,Este,15-N,AgroOriente,Trigo,A9829R,3/31/2013,8/9/2013,0.17,50,2941176.5,5/9/2013,7/13/2013,,0,0,0,,Malo,Regular,,27,5,TRIGO,2013,0,-16.92304,-62.40913
12,Este,14-N,AgroOriente,Trigo,A9829R,4/1/2013,8/17/2013,0.17,50,2941176.5,5/10/2013,7/14/2013,,0,0,0,,Malo,Regular,,25,5,TRIGO,2013,0,-16.92482,-62.40973
14,Este,B17,Europa,Girasol,DK-4045,4/2/2013,7/19/2013,0.42,2.6,61904.762,6/3/2013,7/6/2013,1.9,0,0,0,1.6357053,,,,46,6,GIRASOL,2013,0,-17.09826,-62.34688
14,Este,C11,Europa,Sorgo Forrajero,Jumbo,4/2/2013,8/8/2013,0.42,7,166666.67,5/20/2013,7/21/2013,1,0,0,0,0.62700965,,,,47,2,SORGO FORRAJERO,2013,0,-17.08261,-62.3608
13,Este,SFco52,San Francisco,Girasol,DK-4045,4/18/2013,8/18/2013,0.52,2.8,53846.154,6/2/2013,8/6/2013,1.8,0,0,0,1.10589,,,,41,6,GIRASOL,2013,0,-17.30583,-62.28137
12,Este,14-P,AgroOriente,Trigo,Motacu,4/20/2013,8/7/2013,0.17,50,2941176.5,5/29/2013,7/24/2013,,0,0,0,,Malo,Regular,,26,5,TRIGO,2013,0,-16.92666,-62.41933
12,Este,13-P,AgroOriente,Trigo,Motacu,4/21/2013,8/9/2013,0.17,50,2941176.5,5/30/2013,7/25/2013,,0,0,0,,Malo,Regular,,24,5,TRIGO,2013,0,-16.92877,-62.41945
12,Este,11-P,AgroOriente,Trigo,Motacu,4/22/2013,8/12/2013,0.17,50,2941176.5,5/31/2013,7/26/2013,,0,0,0,,Malo,Regular,,20,5,TRIGO,2013,0,-16.93385,-62.41888
