lat|lon|season_year|season|fishingHours|nCount|nMonths|fishingDays|logFishingHours|logFishinDays|flagOne
-19.9|-73.8|2023|verano|1.67|2|1|1.0|0.5128236264286637|0.0|1
-19.8|-73.7|2023|verano|1.01|1|1|1.0|0.009950330853168092|0.0|1
-19.8|-73.6|2023|verano|1.4|1|1|1.0|0.3364722366212129|0.0|1
-19.7|-73.8|2023|verano|7.8100000000000005|7|1|1.0|2.0554049638515948|0.0|1
-19.7|-73.7|2023|verano|12.19|11|1|1.0|2.5006159434931803|0.0|1
-19.7|-73.6|2023|verano|5.8999999999999995|5|1|1.0|1.7749523509116736|0.0|1
-19.6|-73.9|2023|verano|0.28|1|1|1.0|-1.2729656758128873|0.0|1
-19.6|-73.8|2023|verano|11.72|12|1|1.0|2.4612967841488667|0.0|1
-19.6|-73.7|2023|verano|20.59|17|1|1.0|3.0248055210396982|0.0|1
-19.6|-73.6|2023|verano|0.13|1|1|1.0|-2.0402208285265546|0.0|1
-19.5|-73.7|2023|verano|2.39|3|1|1.0|0.8712933659434193|0.0|1
-19.5|-73.2|2023|verano|0.5|2|1|1.0|-0.6931471805599453|0.0|1
-19.4|-74.6|2023|verano|0.1|1|1|1.0|-2.3025850929940455|0.0|1
-19.3|-74.6|2023|verano|0.49|1|1|1.0|-0.7133498878774648|0.0|1
-19.3|-74.5|2023|verano|2.29|3|1|1.0|0.8285518175661483|0.0|1
-19.3|-73.0|2023|verano|1.06|1|1|1.0|0.058268908123975824|0.0|1
-19.2|-74.8|2023|verano|1.26|2|1|1.0|0.23111172096338664|0.0|1
-19.2|-73.0|2023|verano|1.12|2|1|1.0|0.11332868530700327|0.0|1
-19.0|-75.1|2023|verano|3.94|3|1|1.0|1.3711807233098425|0.0|1
-19.0|-74.0|2023|verano|1.02|1|1|1.0|0.01980262729617973|0.0|1
-19.0|-72.9|2023|verano|0.15|1|1|1.0|-1.8971199848858813|0.0|1
-18.9|-73.6|2017|verano|6.77|7|1|1.0|1.9125010869241836|0.0|1
-18.9|-73.5|2017|verano|0.68|1|1|1.0|-0.3856624808119846|0.0|1
-18.9|-73.2|2017|verano|0.17|1|1|1.0|-1.7719568419318752|0.0|1
-18.8|-75.7|2023|verano|1.83|3|1|1.0|0.6043159668533296|0.0|1
-18.8|-73.7|2023|verano|1.46|1|1|1.0|0.37843643572024505|0.0|1
-18.8|-73.6|2017|verano|3.79|4|1|1.0|1.332366019094335|0.0|1
-18.8|-73.1|2023|verano|0.93|1|1|1.0|-0.07257069283483537|0.0|1
-18.7|-75.8|2023|verano|4.33|4|1|1.0|1.4655675420143985|0.0|1
-18.7|-75.7|2023|verano|20.93|19|1|1.0|3.0411835364579085|0.0|1
-18.7|-74.1|2023|verano|0.08|1|1|1.0|-2.5257286443082556|0.0|1
-18.7|-74.0|2023|verano|1.67|2|1|1.0|0.5128236264286637|0.0|1
-18.7|-73.7|2017|verano|7.29|6|1|1.0|1.986503546020567|0.0|1
-18.7|-73.5|2017|verano|1.13|1|1|1.0|0.12221763272424911|0.0|1
-18.7|-73.5|2023|verano|4.18|4|1|1.0|1.430311246536665|0.0|1
-18.7|-72.9|2023|verano|0.26|1|1|1.0|-1.3470736479666092|0.0|1
-18.6|-75.7|2023|verano|1.23|1|1|1.0|0.20701416938432612|0.0|1
-18.6|-73.9|2023|verano|4.9399999999999995|5|1|1.0|1.597365331199831|0.0|1
-18.6|-73.8|2023|verano|0.2|1|1|1.0|-1.6094379124341003|0.0|1
-18.6|-73.7|2017|verano|3.38|4|1|1.0|1.2178757094949273|0.0|1
-18.6|-73.5|2017|verano|0.56|1|1|1.0|-0.579818495252942|0.0|1
-18.6|-73.5|2023|verano|3.1|4|1|1.0|1.1314021114911006|0.0|1
-18.6|-73.0|2023|verano|1.77|2|1|1.0|0.5709795465857378|0.0|1
-18.5|-74.0|2023|verano|4.73|6|1|1.0|1.5539252025038417|0.0|1
-18.5|-73.9|2017|verano|2.74|3|1|1.0|1.007957920399979|0.0|1
-18.5|-73.9|2023|verano|14.54|19|1|1.0|2.6769034721053733|0.0|1
-18.5|-73.8|2023|verano|8.65|10|1|1.0|2.157559320943788|0.0|1
-18.5|-73.6|2023|verano|9.379999999999999|11|1|1.0|2.238579763018133|0.0|1
-18.5|-73.5|2023|verano|11.11|13|1|1.0|2.4078456036515385|0.0|1
-18.5|-73.4|2017|verano|2.31|2|1|1.0|0.8372475245337022|0.0|1
-18.5|-73.4|2023|verano|1.33|3|1|1.0|0.28517894223366247|0.0|1
-18.5|-73.0|2023|verano|0.92|1|1|1.0|-0.08338160893905101|0.0|1
-18.5|-72.4|2017|verano|0.95|1|1|1.0|-0.05129329438755058|0.0|1
-18.5|-72.3|2017|verano|5.61|4|1|1.0|1.724550719534605|0.0|1
-18.5|-72.1|2024|verano|1.8|1|1|1.0|0.5877866649021191|0.0|1
-18.5|-72.0|2020|verano|2.38|4|1|1.0|0.8671004876833833|0.0|1
-18.5|-71.9|2020|verano|1.76|2|1|1.0|0.5653138090500605|0.0|1
-18.4|-76.0|2023|verano|0.38|2|1|1.0|-0.9675840262617056|0.0|1
-18.4|-74.3|2018|verano|0.15|1|1|1.0|-1.8971199848858813|0.0|1
-18.4|-74.2|2023|verano|0.7|1|1|1.0|-0.35667494393873245|0.0|1
-18.4|-74.1|2023|verano|2.78|5|2|1.0|1.0224509277025455|0.0|1
-18.4|-74.0|2017|verano|3.3200000000000003|2|1|1.0|1.1999647829283973|0.0|1
-18.4|-74.0|2023|verano|1.75|3|2|1.0|0.5596157879354227|0.0|1
-18.4|-73.9|2017|verano|2.98|3|1|1.0|1.091923300517313|0.0|1
-18.4|-73.9|2023|verano|9.959999999999999|9|2|1.0|2.298577071596507|0.0|1
-18.4|-73.8|2023|verano|4.67|7|2|1.0|1.541159071680806|0.0|1
-18.4|-73.6|2023|verano|35.03|27|1|2.0|3.5562048372093953|0.6931471805599453|1
-18.4|-73.5|2017|verano|5.68|6|1|1.0|1.7369512327330598|0.0|1
-18.4|-73.5|2023|verano|25.759999999999998|21|1|2.0|3.248822901236153|0.6931471805599453|1
-18.4|-73.4|2017|verano|2.94|3|1|1.0|1.0784095813505903|0.0|1
-18.4|-72.9|2017|verano|10.8|8|1|1.0|2.379546134130174|0.0|1
-18.4|-72.7|2017|verano|0.37|1|1|1.0|-0.9942522733438669|0.0|1
-18.4|-72.4|2017|verano|4.36|5|1|1.0|1.472472057360943|0.0|1
-18.4|-72.3|2020|verano|12.11|9|1|1.0|2.494031557565001|0.0|1
-18.4|-72.0|2020|verano|6.22|4|1|1.0|1.827769906751088|0.0|1
-18.4|-72.0|2024|verano|0.52|1|1|1.0|-0.6539264674066639|0.0|1
-18.4|-71.9|2020|verano|7.15|6|1|1.0|1.9671123567059163|0.0|1
-18.4|-71.9|2023|verano|2.65|2|1|1.0|0.9745596399981308|0.0|1
-18.4|-71.9|2024|verano|14.49|2|2|1.0|2.673458756332591|0.0|1
-18.4|-71.8|2020|verano|0.63|1|1|1.0|-0.4620354595965587|0.0|1
-18.4|-71.5|2024|verano|1.19|1|1|1.0|0.17395330712343798|0.0|1
-18.4|-71.4|2019|verano|5.25|1|1|1.0|1.6582280766035324|0.0|1
-18.4|-71.4|2020|verano|0.67|1|1|1.0|-0.40047756659712525|0.0|1
-18.4|-71.3|2019|verano|1.9900000000000002|2|2|1.0|0.6881346387364011|0.0|1
-18.4|-71.3|2020|verano|1.4100000000000001|2|1|1.0|0.343589704390077|0.0|1
-18.4|-71.2|2019|verano|3.3200000000000003|3|2|1.0|1.1999647829283973|0.0|1
